Long Station Name,Collection Date,EC,Br,Sacramento X2,Location,Area,WYT,Data
Grant Line/Fabian/Bell Canals nr Old R.,1/29/1991,700,0.49,94.90599798,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),1/29/1991,878,0.72,94.90599798,OMR,Interior,C,TT
Rock Slough @ Old River,1/29/1991,897,0.74,94.90599798,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,1/29/1991,1100,0.58,94.90599798,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,1/29/1991,1240,0.62,94.90599798,SouthDelta,Interior,C,TT
Old River nr Tracy,1/29/1991,1320,0.66,94.90599798,SouthDelta,Interior,C,TT
Clifton Court Intake,1/31/1991,731,0.45,94.0793962,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,2/13/1991,557,0.37,94.27904419,OMR,Interior,C,TT
Rock Slough @ Old River,2/14/1991,1070,0.88,93.77396204,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,2/14/1991,1080,0.54,93.77396204,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),2/14/1991,1090,0.91,93.77396204,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,2/25/1991,840,0.6,94.18554964,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),2/25/1991,1080,0.89,94.18554964,OMR,Interior,C,TT
Rock Slough @ Old River,2/25/1991,1080,0.88,94.18554964,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,2/26/1991,610,0.42,94.34149831,OMR,Interior,C,TT
Clifton Court Intake,2/27/1991,840,0.63,95.15255136,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,3/11/1991,514,0.3,78.62871498,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),3/12/1991,779,0.6,78.72735886,OMR,Interior,C,TT
Rock Slough @ Old River,3/12/1991,859,0.65,78.72735886,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,3/12/1991,1210,0.55,78.72735886,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,3/25/1991,469,0.26,72.32639176,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),3/26/1991,549,0.35,72.01442228,OMR,Interior,C,TT
Rock Slough @ Old River,3/26/1991,567,0.36,72.01442228,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,3/26/1991,698,0.23,72.01442228,SouthDelta,Interior,C,TT
Clifton Court Intake,3/27/1991,548,0.34,71.68911216,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,4/9/1991,306,0.13,70.47185036,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),4/9/1991,320,0.14,70.47185036,OMR,Interior,C,TT
Rock Slough @ Old River,4/9/1991,323,0.16,70.47185036,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,4/9/1991,666,0.26,70.47185036,SouthDelta,Interior,C,TT
Little Connection Sl. @ Empire Tr.,4/23/1991,251,0.08,85.01362795,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,4/23/1991,294,0.11,85.01362795,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,4/23/1991,1330,0.6,85.01362795,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,4/23/1991,1360,0.7,85.01362795,SouthDelta,Interior,C,TT
Old River nr Tracy,4/23/1991,1510,0.78,85.01362795,SouthDelta,Interior,C,TT
Clifton Court Intake,4/24/1991,792,0.32,86.48122671,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,5/21/1991,359,0.14,91.14886705,OMR,Interior,C,TT
Clifton Court Intake,5/21/1991,527,0.24,91.14886705,OMR,Interior,C,TT
Contra Costa PP Number 01,5/21/1991,537,0.27,91.14886705,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,5/22/1991,479,0.2,90.63835999,SouthDelta,Interior,C,TT
Rock Slough @ Old River,5/22/1991,596,0.36,90.63835999,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),5/22/1991,613,0.38,90.63835999,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,6/11/1991,468,0.26,92.37007644,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,6/13/1991,575,0.37,92.96709129,SouthDelta,Interior,C,TT
Rock Slough @ Old River,6/13/1991,713,0.57,92.96709129,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),6/13/1991,719,0.58,92.96709129,OMR,Interior,C,TT
Contra Costa PP Number 01,6/24/1991,705,0.47,92.83977948,OMR,Interior,C,TT
Clifton Court Intake,6/25/1991,607,0.36,93.04612539,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,6/26/1991,636,0.4,92.70986559,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),6/26/1991,639,0.46,92.70986559,OMR,Interior,C,TT
Rock Slough @ Old River,6/26/1991,647,0.47,92.70986559,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,6/28/1991,451,0.23,91.92518677,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/8/1991,414,0.21,90.66370954,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/10/1991,564,0.36,92.07471565,SouthDelta,Interior,C,TT
Rock Slough @ Old River,7/10/1991,630,0.52,92.07471565,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/10/1991,648,0.53,92.07471565,OMR,Interior,C,TT
Clifton Court Intake,7/23/1991,528,0.3,91.47785985,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,7/24/1991,275,0.13,92.78926842,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,7/24/1991,404,0.22,92.78926842,OMR,Interior,C,TT
Middle R @ Tracy Rd Bdg,7/24/1991,454,0.27,92.78926842,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/24/1991,511,0.36,92.78926842,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),7/24/1991,595,0.49,92.78926842,OMR,Interior,C,TT
Rock Slough @ Old River,7/24/1991,596,0.48,92.78926842,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,7/24/1991,962,0.49,92.78926842,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,7/24/1991,974,0.52,92.78926842,SouthDelta,Interior,C,TT
Old River nr Tracy,7/24/1991,1110,0.59,92.78926842,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/5/1991,415,0.23,91.32485805,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/7/1991,536,0.36,92.52821793,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),8/7/1991,539,0.42,92.52821793,OMR,Interior,C,TT
Rock Slough @ Old River,8/7/1991,546,0.44,92.52821793,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,8/21/1991,245,0.09,88.57096592,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,8/21/1991,347,0.22,88.57096592,OMR,Interior,C,TT
Rock Slough @ Old River,8/21/1991,550,0.37,88.57096592,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/21/1991,551,0.38,88.57096592,OMR,Interior,C,TT
Contra Costa PP Number 01,8/21/1991,699,0.45,88.57096592,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/21/1991,840,0.44,88.57096592,SouthDelta,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,8/21/1991,950,0.5,88.57096592,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,8/21/1991,1000,0.55,88.57096592,SouthDelta,Interior,C,TT
Old River nr Tracy,8/21/1991,1140,0.53,88.57096592,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/10/1991,323,0.2,92.73110822,OMR,Interior,C,TT
Clifton Court Intake,9/10/1991,469,0.36,92.73110822,OMR,Interior,C,TT
Contra Costa PP Number 01,9/11/1991,782,0.5,92.53683095,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/12/1991,423,0.29,88.08357466,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),9/12/1991,702,0.55,88.08357466,OMR,Interior,C,TT
Rock Slough @ Old River,9/12/1991,722,0.58,88.08357466,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/24/1991,365,0.23,90.17385402,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/26/1991,457,0.26,89.13268814,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),9/26/1991,705,0.51,89.13268814,OMR,Interior,C,TT
Rock Slough @ Old River,9/26/1991,741,0.56,89.13268814,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/8/1991,398,0.21,88.19157893,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/10/1991,430,0.22,88.47167384,SouthDelta,Interior,C,TT
Rock Slough @ Old River,10/10/1991,554,0.36,88.47167384,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/10/1991,563,0.34,88.47167384,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/23/1991,160,0.03,94.27657666,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,10/23/1991,365,0.14,94.27657666,OMR,Interior,C,TT
