Long Station Name,Collection Date,EC,Mg,Sacramento X2,Location,Area,WYT,Data
San Joaquin River @ Mossdale Bridge - C7A,2/14/1990,1300,30,84.5852336,SJRcorridor,Interior,C,TT
Old River nr Tracy,2/14/1990,1320,32,84.5852336,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,2/14/1990,1240,30,84.5852336,SouthDelta,Interior,C,TT
Clifton Court Intake,2/21/1990,472,13,80.12996718,OMR,Interior,C,TT
Rock Slough @ Old River,2/23/1990,598,16,83.08252588,OMR,Interior,C,TT
Rock Slough @ Old River,3/20/1990,548,15,85.09103604,OMR,Interior,C,TT
Clifton Court Intake,3/20/1990,404,12,85.09103604,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),4/1/1990,751,19,92.60495482,OMR,Interior,C,TT
Clifton Court Intake,4/24/1990,532,14,86.79032173,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),4/25/1990,905,21,87.22990049,OMR,Interior,C,TT
Rock Slough @ Old River,4/25/1990,864,20,87.22990049,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,4/25/1990,349,10,87.22990049,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,4/25/1990,164,6,87.22990049,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,4/25/1990,823,20,87.22990049,SJRcorridor,Interior,C,TT
Old River nr Tracy,4/25/1990,1120,31,87.22990049,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,4/25/1990,839,22,87.22990049,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,4/25/1990,671,17,87.22990049,SouthDelta,Interior,C,TT
Rock Slough @ Old River,5/23/1990,660,16,90.30188297,OMR,Interior,C,TT
Clifton Court Intake,5/23/1990,654,16,90.30188297,OMR,Interior,C,TT
Rock Slough @ Old River,6/26/1990,377,11,87.03302324,OMR,Interior,C,TT
Clifton Court Intake,6/27/1990,786,20,84.4854239,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/9/1990,330,10,87.6328401,OMR,Interior,C,TT
Rock Slough @ Old River,7/10/1990,449,14,87.75334412,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/10/1990,408,12,87.75334412,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/10/1990,367,11,87.75334412,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),7/16/1990,450,13,85.00509504,OMR,Interior,C,TT
Rock Slough @ Old River,7/16/1990,441,12,85.00509504,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/16/1990,303,10,85.00509504,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/16/1990,777,21,85.00509504,SouthDelta,Interior,C,TT
Clifton Court Intake,7/25/1990,457,12,87.85147172,OMR,Interior,C,TT
Rock Slough @ Old River,7/26/1990,572,14,86.56430395,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/26/1990,524,13,86.56430395,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/26/1990,286,9,86.56430395,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,7/26/1990,160,6,86.56430395,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,7/26/1990,853,22,86.56430395,SJRcorridor,Interior,C,TT
Old River nr Tracy,7/26/1990,916,23,86.56430395,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,7/26/1990,843,22,86.56430395,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/26/1990,396,11,86.56430395,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,7/30/1990,281,9,85.42890232,OMR,Interior,C,TT
Rock Slough @ Old River,7/31/1990,547,14,85.26138636,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/31/1990,533,14,85.26138636,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/31/1990,828,22,85.26138636,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/6/1990,458,13,86.53798294,OMR,Interior,C,TT
Rock Slough @ Old River,8/7/1990,635,15,84.4251127,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/7/1990,595,14,84.4251127,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/7/1990,482,13,84.4251127,SouthDelta,Interior,C,TT
Rock Slough @ Old River,8/13/1990,508,12,82.37363354,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/13/1990,504,12,82.37363354,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,8/13/1990,296,9,82.37363354,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/13/1990,672,17,82.37363354,SouthDelta,Interior,C,TT
Clifton Court Intake,8/21/1990,397,11,82.94560259,OMR,Interior,C,TT
Rock Slough @ Old River,8/22/1990,477,12,83.47764088,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/22/1990,463,12,83.47764088,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,8/22/1990,269,9,83.47764088,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,8/22/1990,178,7,83.47764088,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,8/22/1990,738,19,83.47764088,SJRcorridor,Interior,C,TT
Old River nr Tracy,8/22/1990,857,23,83.47764088,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,8/22/1990,735,19,83.47764088,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/22/1990,652,18,83.47764088,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/27/1990,267,9,83.52017111,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/28/1990,464,12,84.07314596,OMR,Interior,C,TT
Rock Slough @ Old River,8/28/1990,461,12,84.07314596,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/28/1990,644,17,84.07314596,SouthDelta,Interior,C,TT
Old River South of Rock Slough (St 5A),9/4/1990,479,12,85.84737194,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/4/1990,293,10,85.84737194,OMR,Interior,C,TT
Rock Slough @ Old River,9/5/1990,483,13,86.59648732,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/5/1990,474,12,86.59648732,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/5/1990,816,21,86.59648732,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/10/1990,302,10,83.68375569,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/11/1990,527,14,86.1336185,OMR,Interior,C,TT
Rock Slough @ Old River,9/11/1990,510,13,86.1336185,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/11/1990,397,12,86.1336185,SouthDelta,Interior,C,TT
Rock Slough @ Old River,9/17/1990,548,14,85.19881494,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/17/1990,544,14,85.19881494,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/17/1990,422,12,85.19881494,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/18/1990,327,10,87.49634818,OMR,Interior,C,TT
Clifton Court Intake,9/24/1990,504,14,90.82305445,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/24/1990,368,11,90.82305445,OMR,Interior,C,TT
Rock Slough @ Old River,9/25/1990,583,15,91.8739207,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/25/1990,573,15,91.8739207,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/25/1990,447,13,91.8739207,SouthDelta,Interior,C,TT
Rock Slough @ Old River,10/1/1990,618,16,91.47315676,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/1/1990,613,16,91.47315676,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/1/1990,595,16,91.47315676,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,10/2/1990,625,16,92.40360011,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/2/1990,437,12,92.40360011,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/10/1990,481,14,93.96433834,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/11/1990,836,20,94.23950241,OMR,Interior,C,TT
Rock Slough @ Old River,10/11/1990,816,20,94.23950241,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/11/1990,631,17,94.23950241,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/16/1990,542,15,94.0236734,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/17/1990,863,20,93.81403956,OMR,Interior,C,TT
